name	ssn	birthdate	company	current_location	imei	user_id	address	username	registration	mail	job
Adam Buckley	256-10-3282		Thompson PLC	(Decimal('-27.796214'), Decimal('35.724897'))	8630330696303481321	261	"2356 Kelly Stravenue
North Nicholechester, WV 25062"	brandyvaughn	11/03/2019, 00:00:00	brooksmelinda@hotmail.com	Engineer, maintenance
William Mccall	836-85-9036		Brewer, Jones and Simpson		359043379931766197	1432	"83245 Jack Port Suite 186
Heathermouth, MP 26449"	daniel34	07 May 2023	michellehaley@gmail.com	
Tabitha Silva	316-02-7078	2013-01-13	James Group	(Decimal('75.6463495'), Decimal('-101.730814'))	3590433799317661321	340	"6584 Jody Flat
Michaelport, DC 53671"	ashley60	03/16/2019, 00:00:00	xmartinez@yahoo.com	
Diane Perez	207-68-5498	1944-07-28	Warren, Frank and Cox	(Decimal('-78.0240235'), Decimal('-40.012949'))	8630330696303481362	447	"6554 Fox Haven
Stokesstad, IA 11756"	richardhoward	04/07/2018, 00:00:00	fischerlindsey@gmail.com	
Mrs. Sharon Villegas	389-65-1005		Green-Richardson	(Decimal('62.4863645'), Decimal('112.231295'))	8630330696303482287	1342	"67336 Peter Rue
Kathyland, AK 30553"	mcbrideshaun	2022/05/21	gilbertwilliam@yahoo.com	
Tiffany Cuevas	470-50-1256	2023-11-13	Rubio and Sons	(Decimal('-73.1923235'), Decimal('-23.526549'))	863033069630348727	1328	"23923 Ashley Drives Apt. 185
Debramouth, IA 42249"	garrett56	2021/05/20	phillip98@hotmail.com	Nurse, children's
Christine Stokes	623-35-4416		Roberts Inc	(Decimal('38.5284105'), Decimal('-15.330030'))	8630330696303481388	2489		woodardrobert	10 Nov 2020	freemandana@gmail.com	
Claudia Bryan	350-28-6975		Johnson, Cooper and Munoz	(Decimal('-67.983401'), Decimal('7.866255'))	3590433799317662386	1616	"204 Cervantes Forges Apt. 741
Perezport, DC 69510"	crystal34	04 May 2021	patricia50@yahoo.com	
Don Gray	197-84-1891		Schneider-Abbott	(Decimal('-9.5423245'), Decimal('-37.330663'))	863033069630348552	52	"143 Anthony Roads
New Karenview, CO 12930"	murillokaylee	29 Apr 2023	gonzalezdeborah@yahoo.com	
John Sanchez	243-68-1104	1929-05-25	Stephens, Wilson and West	(Decimal('19.0211825'), Decimal('112.899447'))	3590433799317661305	1535	"841 Smith Spurs Suite 313
East James, SD 43538"	rachelburnett	2018-08-19	jonathan83@gmail.com	
Nichole Cook	068-85-9424		Stewart, Russell and Watson	(Decimal('-30.085121'), Decimal('-124.884892'))	8630330696303482204	986	"2611 Michael Expressway
Dawsonland, LA 04609"	tmorris	10/26/2023, 00:00:00	jschmidt@hotmail.com	
Christie Patterson	730-86-2189		Hunter PLC	(Decimal('57.2292465'), Decimal('-148.850152'))	3590433799317661941	11	"0953 Hobbs Locks Suite 184
Lake Valeriebury, MH 47099"	shane34	02/02/2018, 00:00:00	mcclainharold@gmail.com	
Jason Patterson	106-53-2894		Mcdowell-Pierce	(Decimal('38.595365'), Decimal('5.865020'))	863033069630348206	928	"4733 Johnson Circle
South Dustin, KS 67283"	kkeller	20 Dec 2017	narnold@yahoo.com	Engineer, control and instrumentation
Anthony Torres	332-28-9332	1913-03-04	Parker Group	(Decimal('40.2314925'), Decimal('28.072875'))	359043379931766486	1931		waltersmeagan	2022-08-21	zperez@gmail.com	Teacher, secondary school
Brent Murphy	879-17-1885		Howard and Sons	(Decimal('72.5813065'), Decimal('60.408686'))	863033069630348909	658	"28165 Amanda Parkway Apt. 280
Leeside, AZ 65285"	wkennedy	10/07/2023, 00:00:00	sanchezamanda@gmail.com	
